,winDiff,pk,coverage,purity,recall,precision,episode,season
KMeans,0.485,0.335,0.946,0.944,0.148,0.154,13,2
KMeans,5.617,0.131,0.767,0.769,0.129,0.125,13,2
KMeans,0.167,0.093,0.951,0.944,0.954,0.948,13,2
KMeans,0.485,0.377,0.951,0.944,0.111,0.125,13,2
specteral,0.119,0.09,0.68,0.701,0.002,0.026,13,2
specteral,0.213,0.115,0.92,0.944,0.926,0.951,13,2
specteral,0.731,0.442,0.92,0.944,0.185,0.128,13,2
specteral,0.321,0.061,0.594,0.779,0.002,0.023,13,2
specteral,0.221,0.118,0.909,0.944,0.919,0.955,13,2
specteral,0.8,0.524,0.909,0.944,0.259,0.159,13,2
affinity,0.156,0.082,0.806,0.581,0.072,0.059,13,2
affinity,0.18,0.095,0.957,0.944,0.956,0.944,13,2
affinity,0.618,0.434,0.957,0.944,0.037,0.048,13,2
affinity,0.156,0.082,0.755,0.662,0.038,0.05,13,2
affinity,0.2,0.107,0.944,0.944,0.943,0.943,13,2
affinity,0.664,0.472,0.944,0.944,0.037,0.037,13,2
