,winDiff,pk,coverage,purity,recall,precision,season,episode
affinity,0.19,0.115,0.732,0.855,0.935,0.943,2,10
affinity,0.198,0.106,0.721,0.874,0.939,0.948,2,10
affinity,1.742,0.883,0.749,0.889,0.07,0.912,2,10
KMeans,0.136,0.081,0.78,0.87,0.956,0.958,2,11
KMeans,0.11,0.063,0.872,0.874,0.97,0.964,2,11
KMeans,0.136,0.07,0.697,0.823,0.96,0.966,2,11
KMeans,0.201,0.117,0.572,0.919,0.919,0.957,2,11
KMeans,0.172,0.096,0.668,0.854,0.941,0.958,2,11
KMeans,1.778,0.901,0.659,0.89,0.062,0.892,2,11
specteral,0.15,0.083,0.738,0.861,0.955,0.958,2,11
specteral,0.15,0.083,0.715,0.859,0.953,0.96,2,11
specteral,0.157,0.087,0.724,0.861,0.949,0.96,2,11
specteral,0.288,0.155,0.486,0.926,0.869,0.964,2,11
specteral,0.262,0.144,0.52,0.949,0.883,0.963,2,11
specteral,1.64,0.838,0.518,0.935,0.131,0.932,2,11
affinity,0.11,0.06,0.852,0.823,0.975,0.963,2,11
affinity,0.139,0.074,0.834,0.848,0.964,0.959,2,11
affinity,0.128,0.07,0.854,0.818,0.966,0.96,2,11
affinity,0.165,0.088,0.662,0.865,0.945,0.961,2,11
affinity,0.139,0.079,0.686,0.93,0.949,0.967,2,11
affinity,1.785,0.908,0.7,0.895,0.057,0.857,2,11
KMeans,0.16,0.091,0.737,0.884,0.948,0.955,2,12
KMeans,0.132,0.077,0.763,0.851,0.959,0.959,2,12
KMeans,0.135,0.07,0.793,0.804,0.965,0.961,2,12
KMeans,0.195,0.111,0.628,0.918,0.924,0.958,2,12
KMeans,0.185,0.105,0.64,0.921,0.93,0.958,2,12
KMeans,1.756,0.902,0.646,0.918,0.066,0.837,2,12
specteral,0.128,0.079,0.753,0.916,0.954,0.963,2,12
specteral,0.167,0.089,0.698,0.886,0.945,0.961,2,12
specteral,0.153,0.093,0.726,0.877,0.948,0.954,2,12
specteral,0.234,0.137,0.556,0.942,0.893,0.96,2,12
specteral,0.241,0.144,0.512,0.944,0.884,0.962,2,12
specteral,1.661,0.858,0.593,0.96,0.114,0.886,2,12
affinity,0.125,0.072,0.781,0.774,0.967,0.958,2,12
affinity,0.121,0.072,0.819,0.8,0.967,0.958,2,12
affinity,0.121,0.07,0.819,0.835,0.965,0.961,2,12
affinity,0.146,0.089,0.718,0.893,0.947,0.959,2,12
affinity,0.163,0.096,0.712,0.898,0.939,0.959,2,12
affinity,1.777,0.916,0.73,0.928,0.053,0.784,2,12
KMeans,0.205,0.115,0.695,0.864,0.932,0.945,2,13
KMeans,0.176,0.101,0.726,0.858,0.943,0.949,2,13
KMeans,0.171,0.091,0.724,0.823,0.952,0.952,2,13
KMeans,0.205,0.118,0.643,0.899,0.924,0.951,2,13
KMeans,0.2,0.122,0.627,0.926,0.917,0.952,2,13
KMeans,1.738,0.88,0.67,0.891,0.074,0.919,2,13
specteral,0.163,0.091,0.736,0.849,0.95,0.954,2,13
specteral,0.176,0.105,0.74,0.823,0.943,0.945,2,13
specteral,0.167,0.097,0.703,0.843,0.943,0.954,2,13
specteral,0.304,0.171,0.485,0.928,0.862,0.952,2,13
specteral,0.308,0.171,0.468,0.928,0.862,0.952,2,13
specteral,1.614,0.829,0.546,0.94,0.135,0.912,2,13
affinity,0.13,0.078,0.864,0.765,0.969,0.949,2,13
affinity,0.155,0.089,0.726,0.856,0.954,0.952,2,13
affinity,0.171,0.093,0.744,0.74,0.956,0.946,2,13
affinity,0.18,0.097,0.693,0.866,0.943,0.954,2,13
affinity,0.196,0.109,0.687,0.889,0.93,0.953,2,13
affinity,1.738,0.88,0.672,0.895,0.074,0.919,2,13
