,winDiff,pk,coverage,purity,recall,precision,episode,season
specteral,0.099,0.05,0.969,0.98,0.969,0.98,5,3
specteral,0.949,0.498,0.969,0.98,0.0,0.0,5,3
specteral,0.62,0.129,0.661,0.758,0.001,0.017,5,3
specteral,0.12,0.061,0.956,0.98,0.956,0.981,5,3
specteral,1.15,0.495,0.956,0.98,0.077,0.034,5,3
affinity,0.585,0.121,0.59,0.793,0.001,0.016,5,3
affinity,0.117,0.061,0.953,0.98,0.955,0.983,5,3
affinity,1.106,0.461,0.953,0.98,0.154,0.063,5,3
affinity,0.585,0.121,0.559,0.813,0.001,0.014,5,3
affinity,0.134,0.067,0.948,0.98,0.95,0.982,5,3
affinity,1.213,0.511,0.948,0.98,0.115,0.043,5,3
KMeans,0.511,0.034,0.793,0.796,0.029,0.042,7,3
KMeans,0.098,0.053,0.964,0.976,0.967,0.979,7,3
KMeans,0.576,0.289,0.964,0.976,0.136,0.091,7,3
KMeans,1.074,0.094,0.707,0.867,0.128,0.134,7,3
KMeans,0.091,0.051,0.962,0.976,0.967,0.981,7,3
KMeans,0.563,0.392,0.962,0.976,0.227,0.143,7,3
specteral,0.561,0.053,0.803,0.473,0.001,0.026,7,3
specteral,0.122,0.066,0.958,0.976,0.957,0.975,7,3
specteral,0.942,0.366,0.958,0.976,0.0,0.0,7,3
specteral,0.561,0.053,0.782,0.576,0.001,0.023,7,3
specteral,0.126,0.071,0.953,0.976,0.952,0.975,7,3
specteral,0.934,0.321,0.953,0.976,0.0,0.0,7,3
affinity,0.575,0.055,0.774,0.717,0.001,0.024,7,3
affinity,0.124,0.068,0.955,0.976,0.954,0.975,7,3
affinity,0.779,0.288,0.955,0.976,0.0,0.0,7,3
affinity,0.575,0.055,0.761,0.676,0.002,0.027,7,3
affinity,0.111,0.06,0.96,0.976,0.961,0.977,7,3
affinity,0.756,0.362,0.96,0.976,0.091,0.054,7,3
KMeans,0.143,0.002,0.803,0.752,0.141,0.167,8,3
KMeans,0.075,0.039,0.972,0.98,0.975,0.984,8,3
KMeans,0.462,0.236,0.972,0.98,0.222,0.154,8,3
KMeans,0.854,0.032,0.749,0.821,0.094,0.135,8,3
KMeans,0.086,0.046,0.969,0.98,0.971,0.982,8,3
KMeans,0.502,0.252,0.969,0.98,0.111,0.071,8,3
specteral,0.504,0.046,0.828,0.433,0.002,0.027,8,3
specteral,0.114,0.06,0.959,0.98,0.959,0.979,8,3
specteral,1.069,0.378,0.959,0.98,0.0,0.0,8,3
specteral,0.415,0.031,0.829,0.504,0.002,0.026,8,3
specteral,0.114,0.061,0.958,0.98,0.958,0.979,8,3
specteral,1.002,0.333,0.958,0.98,0.0,0.0,8,3
affinity,0.489,0.043,0.752,0.647,0.001,0.024,8,3
affinity,0.118,0.064,0.954,0.98,0.954,0.98,8,3
affinity,0.984,0.313,0.954,0.98,0.056,0.024,8,3
affinity,0.489,0.043,0.72,0.657,0.002,0.026,8,3
affinity,0.101,0.055,0.958,0.98,0.961,0.983,8,3
affinity,0.89,0.353,0.958,0.98,0.167,0.079,8,3
KMeans,0.529,0.027,0.797,0.709,0.044,0.061,10,3
KMeans,0.091,0.047,0.974,0.975,0.975,0.977,10,3
KMeans,0.458,0.358,0.974,0.975,0.074,0.069,10,3
KMeans,0.947,0.055,0.726,0.839,0.051,0.063,10,3
KMeans,0.095,0.053,0.966,0.975,0.968,0.977,10,3
KMeans,0.462,0.318,0.966,0.975,0.111,0.081,10,3
specteral,0.577,0.051,0.837,0.39,0.002,0.026,10,3
specteral,0.106,0.057,0.965,0.975,0.965,0.975,10,3
specteral,0.928,0.465,0.965,0.975,0.037,0.026,10,3
specteral,0.577,0.051,0.793,0.555,0.001,0.021,10,3
specteral,0.115,0.064,0.957,0.975,0.958,0.976,10,3
specteral,0.953,0.457,0.957,0.975,0.074,0.043,10,3
affinity,0.57,0.05,0.718,0.777,0.001,0.019,10,3
