,winDiff,pk,coverage,purity,recall,precision,episode,season
affinity,0.066,0.035,0.971,0.973,0.981,0.983,2,3
affinity,0.301,0.261,0.971,0.973,0.391,0.36,2,3
affinity,0.598,0.062,0.76,0.885,0.008,0.04,2,3
affinity,0.089,0.053,0.965,0.973,0.969,0.977,2,3
affinity,0.365,0.317,0.965,0.973,0.174,0.133,2,3
KMeans,0.26,0.024,0.756,0.872,0.086,0.114,4,3
KMeans,0.07,0.038,0.976,0.981,0.978,0.983,4,3
KMeans,0.332,0.266,0.976,0.981,0.143,0.111,4,3
KMeans,0.08,0.007,0.808,0.879,0.299,0.303,4,3
KMeans,0.059,0.033,0.978,0.981,0.982,0.984,4,3
KMeans,0.308,0.237,0.978,0.981,0.19,0.167,4,3
specteral,0.329,0.03,0.638,0.88,0.178,0.191,4,3
specteral,0.077,0.04,0.97,0.981,0.974,0.985,4,3
specteral,0.594,0.436,0.97,0.981,0.238,0.152,4,3
specteral,0.09,0.008,0.72,0.899,0.066,0.094,4,3
specteral,0.076,0.041,0.974,0.981,0.975,0.982,4,3
specteral,0.445,0.319,0.974,0.981,0.095,0.069,4,3
affinity,0.72,0.073,0.648,0.908,0.12,0.129,4,3
affinity,0.086,0.046,0.969,0.981,0.971,0.982,4,3
affinity,0.582,0.42,0.969,0.981,0.095,0.059,4,3
affinity,0.544,0.054,0.608,0.929,0.021,0.026,4,3
affinity,0.081,0.044,0.966,0.981,0.97,0.985,4,3
affinity,0.61,0.426,0.966,0.981,0.238,0.132,4,3
KMeans,0.467,0.093,0.714,0.917,0.027,0.05,5,3
KMeans,0.08,0.044,0.973,0.98,0.974,0.981,5,3
KMeans,0.474,0.307,0.973,0.98,0.077,0.056,5,3
KMeans,0.594,0.119,0.768,0.869,0.052,0.05,5,3
KMeans,0.074,0.037,0.977,0.98,0.979,0.983,5,3
KMeans,0.403,0.274,0.977,0.98,0.154,0.129,5,3
specteral,0.75,0.153,0.749,0.857,0.112,0.123,5,3
specteral,0.065,0.034,0.978,0.98,0.982,0.984,5,3
specteral,0.457,0.344,0.978,0.98,0.192,0.172,5,3
specteral,0.105,0.021,0.773,0.797,0.248,0.253,5,3
specteral,0.06,0.032,0.982,0.98,0.985,0.983,5,3
specteral,0.5,0.381,0.982,0.98,0.154,0.167,5,3
affinity,0.158,0.032,0.702,0.887,0.051,0.048,5,3
affinity,0.074,0.038,0.974,0.98,0.978,0.984,5,3
affinity,0.482,0.352,0.974,0.98,0.192,0.147,5,3
affinity,0.583,0.117,0.629,0.944,0.015,0.033,5,3
affinity,0.083,0.044,0.968,0.98,0.971,0.984,5,3
affinity,0.525,0.372,0.968,0.98,0.192,0.116,5,3
KMeans,0.316,0.017,0.824,0.871,0.264,0.302,7,3
KMeans,0.083,0.046,0.974,0.976,0.976,0.978,7,3
KMeans,0.348,0.283,0.974,0.976,0.091,0.083,7,3
KMeans,0.021,0.001,0.84,0.875,0.263,0.24,7,3
KMeans,0.065,0.036,0.977,0.976,0.982,0.981,7,3
KMeans,0.327,0.278,0.977,0.976,0.227,0.238,7,3
specteral,0.063,0.003,0.797,0.878,0.256,0.246,7,3
specteral,0.072,0.039,0.972,0.976,0.978,0.982,7,3
specteral,0.412,0.3,0.972,0.976,0.273,0.231,7,3
specteral,0.063,0.003,0.742,0.873,0.196,0.202,7,3
